127.0.0.1 - - [12/Oct/2023:19:15:37 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:15:41 +0530] "GET /JSP-14JavaBeanCreating/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:15:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:15:51 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 3201
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:17:28 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 3728
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:20:17 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:21:31 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:24:12 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:24:15 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:24:18 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:24:27 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1683
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:25:44 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 500 1687
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:25:56 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:26:26 +0530] "GET /JSP-14JavaBeanCreating/Test2.jsp HTTP/1.1" 500 2371
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:26:39 +0530] "GET /JSP-14JavaBeanCreating/Test2.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:26:53 +0530] "GET /JSP-14JavaBeanCreating/Test2.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:27:05 +0530] "GET /JSP-14JavaBeanCreating/Test2.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:27:10 +0530] "GET /JSP-14JavaBeanCreating/Test1.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [12/Oct/2023:19:27:16 +0530] "GET /JSP-14JavaBeanCreating/Test2.jsp HTTP/1.1" 200 206
